中華電信電視,#genre#
美食星球頻道,http://61.224.69.212:9088/udp/224.1.4.19:11111
美食星球頻道,http://61.224.69.212:9088/udp/230.1.2.178:11111
視納華仁紀實台,http://61.224.69.212:9088/udp/224.1.4.206:11111
視納華仁紀實台,http://61.224.69.212:9088/udp/230.1.2.96:11111
原住民族電視台,http://61.224.69.212:9088/udp/224.1.4.76:11111
原住民族電視台,http://61.224.69.212:9088/udp/230.1.2.235:11111
愛爾達亞運1台,http://61.224.69.212:9088/udp/224.1.4.129:11111
愛爾達亞運1台,http://61.224.69.212:9088/udp/224.1.4.94:11111
愛爾達亞運2台,http://61.224.69.212:9088/udp/230.1.2.170:11111
愛爾達亞運2台,http://61.224.69.212:9088/udp/230.1.2.7:11111
愛爾達亞運3台,http://61.224.69.212:9088/udp/230.1.2.234:11111
愛爾達亞運3台,http://61.224.69.212:9088/udp/230.1.2.87:11111
愛爾達體育1台,http://61.224.69.212:9088/udp/224.1.4.112:11111
愛爾達體育1台,http://61.224.69.212:9088/udp/230.1.2.131:11111
愛爾達體育2台,http://61.224.69.212:9088/udp/230.1.2.237:11111
愛爾達體育2台,http://61.224.69.212:9088/udp/230.1.2.88:11111
愛爾達體育3台,http://61.224.69.212:9088/udp/224.1.4.193:11111
愛爾達體育3台,http://61.224.69.212:9088/udp/230.1.2.91:11111
愛爾達體育4台,http://61.224.69.212:9088/udp/224.1.4.7:11111
愛爾達體育4台,http://61.224.69.212:9088/udp/230.1.2.146:11111
愛爾達綜合台,http://61.224.69.212:9088/udp/224.1.4.114:11111
愛爾達綜合台,http://61.224.69.212:9088/udp/230.1.2.133:11111
愛爾達影劇台,http://61.224.69.212:9088/udp/224.1.4.113:11111
愛爾達影劇台,http://61.224.69.212:9088/udp/230.1.2.132:11111
唯心電視台,http://61.224.69.212:9088/udp/224.1.4.200:11111
唯心電視台,http://61.224.69.212:9088/udp/230.1.2.80:11111
曼迪日本台,http://61.224.69.212:9088/udp/230.1.2.242:11111
曼迪日本台,http://61.224.69.212:9088/udp/230.1.2.89:11111
Medici-arts,http://61.224.69.212:9088/udp/224.1.4.26:11111
Medici-arts,http://61.224.69.212:9088/udp/230.1.2.180:11111
博斯無限二台,http://61.224.69.212:9088/udp/224.1.4.207:11111
博斯無限二台,http://61.224.69.212:9088/udp/230.1.2.97:11111
博斯無限台,http://61.224.69.212:9088/udp/224.1.4.46:11111
博斯無限台,http://61.224.69.212:9088/udp/230.1.2.215:11111
博斯網球台,http://61.224.69.212:9088/udp/224.1.4.66:11111
博斯網球台,http://61.224.69.212:9088/udp/230.1.2.198:11111
博斯運動一台,http://61.224.69.212:9088/udp/224.1.4.48:11111
博斯運動一台,http://61.224.69.212:9088/udp/230.1.2.158:11111
博斯運動二台,http://61.224.69.212:9088/udp/224.1.4.5:11111
博斯運動二台,http://61.224.69.212:9088/udp/230.1.2.196:11111
博斯高球一台,http://61.224.69.212:9088/udp/224.1.4.49:11111
博斯高球一台,http://61.224.69.212:9088/udp/230.1.2.183:11111
博斯高球二台,http://61.224.69.212:9088/udp/224.1.4.47:11111
博斯高球二台,http://61.224.69.212:9088/udp/230.1.2.197:11111
博斯魅力網,http://61.224.69.212:9088/udp/224.1.4.110:11111
博斯魅力網,http://61.224.69.212:9088/udp/224.1.4.250:11111
